,movies,year,imdb_rating,metascore,number_of_votes,n_imdb
1536,Indiana Jones and the Last Crusade,1989,8.3,65,600438,83.0
1537,Taxi Driver,1976,8.3,94,600305,83.0
1538,The Pianist,2002,8.5,85,598137,85.0
1539,Silver Linings Playbook,2012,7.8,81,597429,78.0
1540,Avengers: Age of Ultron,2015,7.4,66,594679,74.0
1541,The Grand Budapest Hotel,2014,8.1,88,594073,81.0
1542,Blade Runner,1982,8.2,89,592183,82.0
1543,X-Men: Days of Future Past,2014,8.0,75,590736,80.0
1544,The Good the Bad and the Ugly,1966,8.9,90,586027,89.0
1545,District 9,2009,7.9,81,584741,79.0
1546,X: First Class,2011,7.8,65,582944,78.0
1547,Kill Bill: Vol. 2,2004,8.0,83,581761,80.0
1548,The Imitation Game,2014,8.0,73,581323,80.0
1549,Full Metal Jacket,1987,8.3,76,574404,83.0
1550,How to Train Your Dragon,2010,8.1,74,573194,81.0
1551,Skyfall,2012,7.8,81,572893,78.0
1552,Aliens,1986,8.4,84,571663,84.0
1553,The King's Speech,2010,8.0,88,567609,80.0
1554,The Revenant,2015,8.0,76,567555,80.0
1555,The Bourne Ultimatum,2007,8.0,85,563232,80.0
1556,Trainspotting,1996,8.2,83,562192,82.0
1557,Million Dollar Baby,2004,8.1,86,559844,81.0
1558,Whiplash,2014,8.5,88,559811,85.0
1559,The Incredibles,2004,8.0,90,559084,80.0
1560,The Hunger Games: Catching Fire,2013,7.5,76,554912,75.0
1561,Transformers,2007,7.1,61,554168,71.0
1562,12 Angry Men,1957,8.9,96,551058,89.0
1563,Star Trek,2009,8.0,82,545148,80.0
1564,Pan's Labyrinth,2006,8.2,98,545111,82.0
1565,The Social Network,2010,7.7,95,544959,77.0
1566,The Hobbit: The Desolation of Smaug,2013,7.9,66,544070,79.0
1567,Ratatouille,2007,8.0,96,543097,80.0
1568,12 Years a Slave,2013,8.1,96,543047,81.0
1569,Fargo,1996,8.1,85,533104,81.0
1570,Shrek,2001,7.9,84,530118,79.0
1571,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529875,76.0
1572,World War Z,2013,7.0,63,529104,70.0
1573,Twelve Monkeys,1995,8.0,74,524491,80.0
1574,Prometheus,2012,7.0,64,521150,70.0
1575,Apocalypse Now,1979,8.5,94,520058,85.0
1576,Casino Royale,2006,8.0,80,519852,80.0
1577,Ted,2012,7.0,62,519682,70.0
1578,Spirited Away,2001,8.6,96,516890,86.0
1579,The Curious Case of Benjamin Button,2008,7.8,70,516448,78.0
1580,Edge of Tomorrow,2014,7.9,71,516275,79.0
1581,Groundhog Day,1993,8.0,72,514963,80.0
1582,Argo,2012,7.7,86,513656,77.0
1583,Captain America: Civil War,2016,7.8,75,512833,78.0
1584,X-Men,2000,7.4,64,512495,74.0
1585,2001: A Space Odyssey,1968,8.3,82,509086,83.0
1586,Life of Pi,2012,7.9,79,507235,79.0
1587,The Amazing Spider-Man,2012,7.0,66,503570,70.0
1588,Psycho,1960,8.5,97,502693,85.0
1589,Into the Wild,2007,8.1,73,500615,81.0
1590,Heat,1995,8.2,76,498521,82.0
1591,Drive,2011,7.8,78,497249,78.0
1592,Logan,2017,8.1,77,495828,81.0
1593,Prisoners,2013,8.1,74,490946,81.0
1594,Inside Out,2015,8.2,94,490214,82.0
1595,Frozen,2013,7.5,74,488549,75.0
1596,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486318,77.0
1597,Jaws,1975,8.0,87,484517,80.0
1598,Kick-Ass,2010,7.6,66,480883,76.0
1599,Looper,2012,7.4,84,480184,74.0
1600,Spider-Man 2,2004,7.3,83,473808,73.0
1601,Lock Stock and Two Smoking Barrels,1998,8.2,66,472959,82.0
1602,L.A. Confidential,1997,8.3,90,472355,83.0
1603,Superbad,2007,7.6,76,465208,76.0
1604,The Matrix Reloaded,2003,7.2,62,461122,72.0
1605,X2,2003,7.5,68,459676,75.0
1606,Arrival,2016,7.9,81,459227,79.0
1607,21 Jump Street,2012,7.2,69,459122,72.0
1608,Harry Potter and the Chamber of Secrets,2002,7.4,63,458656,74.0
1609,The Bourne Identity,2002,7.9,68,458251,79.0
1610,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650789,81.0
1611,Captain America: The First Avenger,2011,6.9,66,608919,69.0
1612,X: First Class,2011,7.8,65,582944,78.0
1613,Drive,2011,7.8,78,497249,78.0
1614,Rise of the Planet of the Apes,2011,7.6,68,458126,76.0
1615,Source Code,2011,7.5,74,433022,75.0
1616,Crazy Stupid Love.,2011,7.4,68,420187,74.0
1617,Mission: Impossible - Ghost Protocol,2011,7.4,73,402440,74.0
1618,Warrior,2011,8.2,71,386088,82.0
1619,The Help,2011,8.1,62,373574,81.0
1620,The Girl with the Dragon Tattoo,2011,7.8,71,371008,78.0
1621,Midnight in Paris,2011,7.7,81,342123,77.0
1622,Fast Five,2011,7.3,66,317705,73.0
1623,Moneyball,2011,7.6,87,313266,76.0
1624,Super 8,2011,7.0,72,311617,70.0
1625,Friends with Benefits,2011,6.6,63,304310,66.0
1626,50/50,2011,7.7,72,293331,77.0
1627,Hugo,2011,7.5,83,274360,75.0
1628,Bridesmaids,2011,6.8,75,241200,68.0
1629,The Grey,2011,6.8,64,221877,68.0
1630,The Descendants,2011,7.3,84,218493,73.0
1631,Kung Fu Panda 2,2011,7.3,67,214017,73.0
1632,The Artist,2011,7.9,89,210502,79.0
1633,Rango,2011,7.2,75,206568,72.0
1634,The Ides of March,2011,7.1,67,203123,71.0
1635,The Adventures of Tintin,2011,7.4,68,195376,74.0
1636,Contagion,2011,6.6,70,195209,66.0
1637,The Sixth Sense,1999,8.1,64,806444,81.0
1638,Iron Man,2008,7.9,79,802956,79.0
1639,Up,2009,8.3,88,794144,83.0
1640,The Truman Show,1998,8.1,90,789068,81.0
1641,One Flew Over the Cuckoo's Nest,1975,8.7,80,786259,87.0
1642,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779788,83.0
1643,Reservoir Dogs,1992,8.3,79,779577,83.0
1644,The Lion King,1994,8.5,83,776378,85.0
1645,The Hunger Games,2012,7.2,68,770809,72.0
1646,Raiders of the Lost Ark,1981,8.5,85,766282,85.0
1647,Deadpool,2016,8.0,65,748247,80.0
1648,Star Wars: The Force Awakens,2015,8.0,81,747662,80.0
1649,Toy Story,1995,8.3,95,742862,83.0
1650,Jurassic Park,1993,8.1,68,737138,81.0
1651,The Shining,1980,8.4,63,728819,84.0
1652,A Beautiful Mind,2001,8.2,72,727526,82.0
1653,Mad Max: Fury Road,2015,8.1,90,723851,81.0
1654,No Country for Old Men,2007,8.1,91,722825,81.0
1655,Good Will Hunting,1997,8.3,70,721931,83.0
1656,Slumdog Millionaire,2008,8.0,86,716706,80.0
1657,Gone Girl,2014,8.1,79,710979,81.0
1658,Sin City,2005,8.0,74,701757,80.0
1659,Monsters Inc.,2001,8.1,78,695989,81.0
1660,The Terminator,1984,8.0,84,693260,80.0
1661,Die Hard,1988,8.2,70,683978,82.0
1662,Alien,1979,8.5,83,674743,85.0
1663,Gravity,2013,7.7,96,671223,77.0
1664,Donnie Darko,2001,8.1,88,669077,81.0
1665,Requiem for a Dream,2000,8.3,68,666675,83.0
1666,Catch Me If You Can,2002,8.1,75,665288,81.0
1667,A Clockwork Orange,1971,8.3,78,652211,83.0
1668,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650789,81.0
1669,The Hangover,2009,7.7,73,643776,77.0
1670,Toy Story 3,2010,8.3,92,643076,83.0
1671,Iron Man Three,2013,7.2,62,643053,72.0
1672,Gran Torino,2008,8.1,72,641602,81.0
1673,Scarface,1983,8.3,65,627909,83.0
1674,The Big Lebowski,1998,8.1,69,627050,81.0
1675,The Martian,2015,8.0,80,626956,80.0
1676,Amélie,2001,8.3,69,621149,83.0
1677,Black Swan,2010,8.0,79,619293,80.0
1678,City of God,2002,8.6,79,612325,86.0
1679,Spider-Man,2002,7.3,73,611215,73.0
1680,Captain America: The First Avenger,2011,6.9,66,608919,69.0
1681,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,608353,76.0
1682,Captain America: The Winter Soldier,2014,7.8,70,608111,78.0
1683,I Am Legend,2007,7.2,65,606795,72.0
1684,Indiana Jones and the Last Crusade,1989,8.3,65,600438,83.0
1685,Taxi Driver,1976,8.3,94,600305,83.0
1686,The Pianist,2002,8.5,85,598137,85.0
1687,Silver Linings Playbook,2012,7.8,81,597429,78.0
1688,Avengers: Age of Ultron,2015,7.4,66,594679,74.0
1689,The Grand Budapest Hotel,2014,8.1,88,594073,81.0
1690,Blade Runner,1982,8.2,89,592183,82.0
1691,X-Men: Days of Future Past,2014,8.0,75,590736,80.0
1692,The Good the Bad and the Ugly,1966,8.9,90,586027,89.0
1693,District 9,2009,7.9,81,584741,79.0
1694,X: First Class,2011,7.8,65,582944,78.0
1695,Kill Bill: Vol. 2,2004,8.0,83,581761,80.0
1696,The Imitation Game,2014,8.0,73,581323,80.0
1697,Full Metal Jacket,1987,8.3,76,574404,83.0
1698,How to Train Your Dragon,2010,8.1,74,573194,81.0
1699,Skyfall,2012,7.8,81,572893,78.0
1700,Aliens,1986,8.4,84,571663,84.0
1701,The King's Speech,2010,8.0,88,567609,80.0
1702,The Revenant,2015,8.0,76,567555,80.0
1703,The Bourne Ultimatum,2007,8.0,85,563232,80.0
1704,Trainspotting,1996,8.2,83,562192,82.0
1705,Million Dollar Baby,2004,8.1,86,559844,81.0
1706,Whiplash,2014,8.5,88,559811,85.0
1707,The Incredibles,2004,8.0,90,559084,80.0
1708,The Hunger Games: Catching Fire,2013,7.5,76,554912,75.0
1709,Transformers,2007,7.1,61,554168,71.0
1710,12 Angry Men,1957,8.9,96,551058,89.0
1711,Star Trek,2009,8.0,82,545148,80.0
1712,Pan's Labyrinth,2006,8.2,98,545111,82.0
1713,The Social Network,2010,7.7,95,544959,77.0
1714,The Hobbit: The Desolation of Smaug,2013,7.9,66,544070,79.0
1715,Ratatouille,2007,8.0,96,543097,80.0
1716,12 Years a Slave,2013,8.1,96,543047,81.0
1717,Fargo,1996,8.1,85,533104,81.0
1718,Shrek,2001,7.9,84,530118,79.0
1719,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529875,76.0
1720,World War Z,2013,7.0,63,529104,70.0
1721,Twelve Monkeys,1995,8.0,74,524491,80.0
1722,Prometheus,2012,7.0,64,521150,70.0
1723,Apocalypse Now,1979,8.5,94,520058,85.0
1724,Casino Royale,2006,8.0,80,519852,80.0
1725,Ted,2012,7.0,62,519682,70.0
1726,Spirited Away,2001,8.6,96,516890,86.0
1727,The Curious Case of Benjamin Button,2008,7.8,70,516448,78.0
1728,Edge of Tomorrow,2014,7.9,71,516275,79.0
1729,Groundhog Day,1993,8.0,72,514963,80.0
1730,Argo,2012,7.7,86,513656,77.0
1731,Captain America: Civil War,2016,7.8,75,512833,78.0
1732,X-Men,2000,7.4,64,512495,74.0
1733,2001: A Space Odyssey,1968,8.3,82,509086,83.0
1734,Life of Pi,2012,7.9,79,507235,79.0
1735,The Amazing Spider-Man,2012,7.0,66,503570,70.0
1736,Psycho,1960,8.5,97,502693,85.0
1737,Into the Wild,2007,8.1,73,500615,81.0
1738,Heat,1995,8.2,76,498521,82.0
1739,Drive,2011,7.8,78,497249,78.0
1740,Logan,2017,8.1,77,495828,81.0
1741,Prisoners,2013,8.1,74,490946,81.0
1742,Inside Out,2015,8.2,94,490214,82.0
1743,Frozen,2013,7.5,74,488549,75.0
1744,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486318,77.0
1745,Jaws,1975,8.0,87,484517,80.0
1746,Kick-Ass,2010,7.6,66,480883,76.0
1747,Looper,2012,7.4,84,480184,74.0
1748,Spider-Man 2,2004,7.3,83,473808,73.0
1749,Lock Stock and Two Smoking Barrels,1998,8.2,66,472959,82.0
1750,L.A. Confidential,1997,8.3,90,472355,83.0
1751,Superbad,2007,7.6,76,465208,76.0
1752,The Matrix Reloaded,2003,7.2,62,461122,72.0
1753,X2,2003,7.5,68,459676,75.0
1754,Arrival,2016,7.9,81,459227,79.0
1755,21 Jump Street,2012,7.2,69,459122,72.0
1756,Harry Potter and the Chamber of Secrets,2002,7.4,63,458656,74.0
1757,The Bourne Identity,2002,7.9,68,458251,79.0
1758,The Dark Knight Rises,2012,8.4,78,1318656,84.0
1759,Django Unchained,2012,8.4,81,1139839,84.0
1760,The Avengers,2012,8.1,69,1116194,81.0
1761,The Hunger Games,2012,7.2,68,770809,72.0
1762,Silver Linings Playbook,2012,7.8,81,597429,78.0
1763,Skyfall,2012,7.8,81,572893,78.0
1764,Prometheus,2012,7.0,64,521150,70.0
1765,Ted,2012,7.0,62,519682,70.0
1766,Argo,2012,7.7,86,513656,77.0
1767,Life of Pi,2012,7.9,79,507235,79.0
1768,The Amazing Spider-Man,2012,7.0,66,503570,70.0
1769,Looper,2012,7.4,84,480184,74.0
1770,21 Jump Street,2012,7.2,69,459122,72.0
1771,The Perks of Being a Wallflower,2012,8.0,67,405220,80.0
1772,The Cabin in the Woods,2012,7.0,72,319978,70.0
1773,Brave,2012,7.1,69,317926,71.0
1774,Wreck-It Ralph,2012,7.7,72,313942,77.0
1775,Flight,2012,7.3,76,290487,73.0
1776,Moonrise Kingdom,2012,7.8,84,277120,78.0
1777,Les Misérables,2012,7.6,63,273736,76.0
1778,The Bourne Legacy,2012,6.7,61,259062,67.0
1779,Pitch Perfect,2012,7.2,66,244353,72.0
1780,Zero Dark Thirty,2012,7.4,95,240511,74.0
1781,Chronicle,2012,7.1,69,223053,71.0
1782,Jagten,2012,8.3,77,222744,83.0
1783,Lincoln,2012,7.4,86,220576,74.0
1784,The Place Beyond the Pines,2012,7.3,68,216221,73.0
1785,Seven Psychopaths,2012,7.2,66,213331,72.0
1786,End of Watch,2012,7.6,68,204106,76.0
1787,The Sixth Sense,1999,8.1,64,806444,81.0
1788,Iron Man,2008,7.9,79,802956,79.0
1789,Up,2009,8.3,88,794144,83.0
1790,The Truman Show,1998,8.1,90,789068,81.0
1791,One Flew Over the Cuckoo's Nest,1975,8.7,80,786259,87.0
1792,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779788,83.0
1793,Reservoir Dogs,1992,8.3,79,779577,83.0
1794,The Lion King,1994,8.5,83,776378,85.0
1795,The Hunger Games,2012,7.2,68,770809,72.0
1796,Raiders of the Lost Ark,1981,8.5,85,766282,85.0
1797,Deadpool,2016,8.0,65,748247,80.0
1798,Star Wars: The Force Awakens,2015,8.0,81,747662,80.0
1799,Toy Story,1995,8.3,95,742862,83.0
1800,Jurassic Park,1993,8.1,68,737138,81.0
1801,The Shining,1980,8.4,63,728819,84.0
1802,A Beautiful Mind,2001,8.2,72,727526,82.0
1803,Mad Max: Fury Road,2015,8.1,90,723851,81.0
1804,No Country for Old Men,2007,8.1,91,722825,81.0
1805,Good Will Hunting,1997,8.3,70,721931,83.0
1806,Slumdog Millionaire,2008,8.0,86,716706,80.0
1807,Gone Girl,2014,8.1,79,710979,81.0
1808,Sin City,2005,8.0,74,701757,80.0
1809,Monsters Inc.,2001,8.1,78,695989,81.0
1810,The Terminator,1984,8.0,84,693260,80.0
1811,Die Hard,1988,8.2,70,683978,82.0
1812,Alien,1979,8.5,83,674743,85.0
1813,Gravity,2013,7.7,96,671223,77.0
1814,Donnie Darko,2001,8.1,88,669077,81.0
1815,Requiem for a Dream,2000,8.3,68,666675,83.0
1816,Catch Me If You Can,2002,8.1,75,665288,81.0
1817,A Clockwork Orange,1971,8.3,78,652211,83.0
1818,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650789,81.0
1819,The Hangover,2009,7.7,73,643776,77.0
1820,Toy Story 3,2010,8.3,92,643076,83.0
1821,Iron Man Three,2013,7.2,62,643053,72.0
1822,Gran Torino,2008,8.1,72,641602,81.0
1823,Scarface,1983,8.3,65,627909,83.0
1824,The Big Lebowski,1998,8.1,69,627050,81.0
1825,The Martian,2015,8.0,80,626956,80.0
1826,Amélie,2001,8.3,69,621149,83.0
1827,Black Swan,2010,8.0,79,619293,80.0
1828,City of God,2002,8.6,79,612325,86.0
1829,Spider-Man,2002,7.3,73,611215,73.0
1830,Captain America: The First Avenger,2011,6.9,66,608919,69.0
1831,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,608353,76.0
1832,Captain America: The Winter Soldier,2014,7.8,70,608111,78.0
1833,I Am Legend,2007,7.2,65,606795,72.0
1834,Indiana Jones and the Last Crusade,1989,8.3,65,600438,83.0
1835,Taxi Driver,1976,8.3,94,600305,83.0
1836,The Pianist,2002,8.5,85,598137,85.0
1837,Silver Linings Playbook,2012,7.8,81,597429,78.0
1838,Avengers: Age of Ultron,2015,7.4,66,594679,74.0
1839,The Grand Budapest Hotel,2014,8.1,88,594073,81.0
1840,Blade Runner,1982,8.2,89,592183,82.0
1841,X-Men: Days of Future Past,2014,8.0,75,590736,80.0
1842,The Good the Bad and the Ugly,1966,8.9,90,586027,89.0
1843,District 9,2009,7.9,81,584741,79.0
1844,X: First Class,2011,7.8,65,582944,78.0
1845,Kill Bill: Vol. 2,2004,8.0,83,581761,80.0
1846,The Imitation Game,2014,8.0,73,581323,80.0
1847,Full Metal Jacket,1987,8.3,76,574404,83.0
1848,How to Train Your Dragon,2010,8.1,74,573194,81.0
1849,Skyfall,2012,7.8,81,572893,78.0
1850,Aliens,1986,8.4,84,571663,84.0
1851,The King's Speech,2010,8.0,88,567609,80.0
1852,The Revenant,2015,8.0,76,567555,80.0
1853,The Bourne Ultimatum,2007,8.0,85,563232,80.0
1854,Trainspotting,1996,8.2,83,562192,82.0
1855,Million Dollar Baby,2004,8.1,86,559844,81.0
1856,Whiplash,2014,8.5,88,559811,85.0
1857,The Incredibles,2004,8.0,90,559084,80.0
1858,The Hunger Games: Catching Fire,2013,7.5,76,554912,75.0
1859,Transformers,2007,7.1,61,554168,71.0
1860,12 Angry Men,1957,8.9,96,551058,89.0
1861,Star Trek,2009,8.0,82,545148,80.0
1862,Pan's Labyrinth,2006,8.2,98,545111,82.0
1863,The Social Network,2010,7.7,95,544959,77.0
1864,The Hobbit: The Desolation of Smaug,2013,7.9,66,544070,79.0
1865,Ratatouille,2007,8.0,96,543097,80.0
1866,12 Years a Slave,2013,8.1,96,543047,81.0
1867,Fargo,1996,8.1,85,533104,81.0
1868,Shrek,2001,7.9,84,530118,79.0
1869,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529875,76.0
1870,World War Z,2013,7.0,63,529104,70.0
1871,Twelve Monkeys,1995,8.0,74,524491,80.0
1872,Prometheus,2012,7.0,64,521150,70.0
1873,Apocalypse Now,1979,8.5,94,520058,85.0
1874,Casino Royale,2006,8.0,80,519852,80.0
1875,Ted,2012,7.0,62,519682,70.0
1876,Spirited Away,2001,8.6,96,516890,86.0
1877,The Curious Case of Benjamin Button,2008,7.8,70,516448,78.0
1878,Edge of Tomorrow,2014,7.9,71,516275,79.0
1879,Groundhog Day,1993,8.0,72,514963,80.0
1880,Argo,2012,7.7,86,513656,77.0
1881,Captain America: Civil War,2016,7.8,75,512833,78.0
1882,X-Men,2000,7.4,64,512495,74.0
1883,2001: A Space Odyssey,1968,8.3,82,509086,83.0
1884,Life of Pi,2012,7.9,79,507235,79.0
1885,The Amazing Spider-Man,2012,7.0,66,503570,70.0
1886,Psycho,1960,8.5,97,502693,85.0
1887,Into the Wild,2007,8.1,73,500615,81.0
1888,Heat,1995,8.2,76,498521,82.0
1889,Drive,2011,7.8,78,497249,78.0
1890,Logan,2017,8.1,77,495828,81.0
1891,Prisoners,2013,8.1,74,490946,81.0
1892,Inside Out,2015,8.2,94,490214,82.0
1893,Frozen,2013,7.5,74,488549,75.0
1894,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486318,77.0
1895,Jaws,1975,8.0,87,484517,80.0
1896,Kick-Ass,2010,7.6,66,480883,76.0
1897,Looper,2012,7.4,84,480184,74.0
1898,Spider-Man 2,2004,7.3,83,473808,73.0
1899,Lock Stock and Two Smoking Barrels,1998,8.2,66,472959,82.0
1900,L.A. Confidential,1997,8.3,90,472355,83.0
1901,Superbad,2007,7.6,76,465208,76.0
1902,The Matrix Reloaded,2003,7.2,62,461122,72.0
1903,X2,2003,7.5,68,459676,75.0
1904,Arrival,2016,7.9,81,459227,79.0
1905,21 Jump Street,2012,7.2,69,459122,72.0
1906,Harry Potter and the Chamber of Secrets,2002,7.4,63,458656,74.0
1907,The Bourne Identity,2002,7.9,68,458251,79.0
1908,The Wolf of Wall Street,2013,8.2,75,962856,82.0
1909,Gravity,2013,7.7,96,671223,77.0
1910,Iron Man Three,2013,7.2,62,643053,72.0
1911,The Hunger Games: Catching Fire,2013,7.5,76,554912,75.0
1912,The Hobbit: The Desolation of Smaug,2013,7.9,66,544070,79.0
1913,12 Years a Slave,2013,8.1,96,543047,81.0
1914,World War Z,2013,7.0,63,529104,70.0
1915,Prisoners,2013,8.1,74,490946,81.0
1916,Frozen,2013,7.5,74,488549,75.0
1917,Star Trek: Into Darkness,2013,7.7,72,435212,77.0
1918,Her,2013,8.0,90,433489,80.0
1919,Pacific Rim,2013,6.9,65,429763,69.0
1920,American Hustle,2013,7.3,90,401540,73.0
1921,Dallas Buyers Club,2013,8.0,84,382746,80.0
1922,The Wolverine,2013,6.7,61,381454,67.0
1923,Elysium,2013,6.6,61,380970,66.0
1924,Rush,2013,8.1,75,373527,81.0
1925,Captain Phillips,2013,7.8,83,370624,78.0
1926,The Conjuring,2013,7.5,68,363783,75.0
1927,This Is the End,2013,6.6,67,347198,66.0
1928,Furious 6,2013,7.1,61,335370,71.0
1929,Despicable Me 2,2013,7.4,62,327802,74.0
1930,Monsters University,2013,7.3,65,274508,73.0
1931,Snowpiercer,2013,7.0,84,221877,70.0
1932,The World's End,2013,7.0,81,219924,70.0
1933,Don Jon,2013,6.6,66,209770,66.0
1934,The Sixth Sense,1999,8.1,64,806444,81.0
1935,Iron Man,2008,7.9,79,802956,79.0
1936,Up,2009,8.3,88,794144,83.0
1937,The Truman Show,1998,8.1,90,789068,81.0
1938,One Flew Over the Cuckoo's Nest,1975,8.7,80,786259,87.0
1939,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779788,83.0
1940,Reservoir Dogs,1992,8.3,79,779577,83.0
1941,The Lion King,1994,8.5,83,776378,85.0
1942,The Hunger Games,2012,7.2,68,770809,72.0
1943,Raiders of the Lost Ark,1981,8.5,85,766282,85.0
1944,Deadpool,2016,8.0,65,748247,80.0
1945,Star Wars: The Force Awakens,2015,8.0,81,747662,80.0
1946,Toy Story,1995,8.3,95,742862,83.0
1947,Jurassic Park,1993,8.1,68,737138,81.0
1948,The Shining,1980,8.4,63,728819,84.0
1949,A Beautiful Mind,2001,8.2,72,727526,82.0
1950,Mad Max: Fury Road,2015,8.1,90,723851,81.0
1951,No Country for Old Men,2007,8.1,91,722825,81.0
1952,Good Will Hunting,1997,8.3,70,721931,83.0
1953,Slumdog Millionaire,2008,8.0,86,716706,80.0
1954,Gone Girl,2014,8.1,79,710979,81.0
1955,Sin City,2005,8.0,74,701757,80.0
1956,Monsters Inc.,2001,8.1,78,695989,81.0
1957,The Terminator,1984,8.0,84,693260,80.0
1958,Die Hard,1988,8.2,70,683978,82.0
1959,Alien,1979,8.5,83,674743,85.0
1960,Gravity,2013,7.7,96,671223,77.0
1961,Donnie Darko,2001,8.1,88,669077,81.0
1962,Requiem for a Dream,2000,8.3,68,666675,83.0
1963,Catch Me If You Can,2002,8.1,75,665288,81.0
1964,A Clockwork Orange,1971,8.3,78,652211,83.0
1965,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650789,81.0
1966,The Hangover,2009,7.7,73,643776,77.0
1967,Toy Story 3,2010,8.3,92,643076,83.0
1968,Iron Man Three,2013,7.2,62,643053,72.0
1969,Gran Torino,2008,8.1,72,641602,81.0
1970,Scarface,1983,8.3,65,627909,83.0
1971,The Big Lebowski,1998,8.1,69,627050,81.0
1972,The Martian,2015,8.0,80,626956,80.0
1973,Amélie,2001,8.3,69,621149,83.0
1974,Black Swan,2010,8.0,79,619293,80.0
1975,City of God,2002,8.6,79,612325,86.0
1976,Spider-Man,2002,7.3,73,611215,73.0
1977,Captain America: The First Avenger,2011,6.9,66,608919,69.0
1978,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,608353,76.0
1979,Captain America: The Winter Soldier,2014,7.8,70,608111,78.0
1980,I Am Legend,2007,7.2,65,606795,72.0
1981,Indiana Jones and the Last Crusade,1989,8.3,65,600438,83.0
1982,Taxi Driver,1976,8.3,94,600305,83.0
1983,The Pianist,2002,8.5,85,598137,85.0
1984,Silver Linings Playbook,2012,7.8,81,597429,78.0
1985,Avengers: Age of Ultron,2015,7.4,66,594679,74.0
1986,The Grand Budapest Hotel,2014,8.1,88,594073,81.0
1987,Blade Runner,1982,8.2,89,592183,82.0
1988,X-Men: Days of Future Past,2014,8.0,75,590736,80.0
1989,The Good the Bad and the Ugly,1966,8.9,90,586027,89.0
1990,District 9,2009,7.9,81,584741,79.0
1991,X: First Class,2011,7.8,65,582944,78.0
1992,Kill Bill: Vol. 2,2004,8.0,83,581761,80.0
1993,The Imitation Game,2014,8.0,73,581323,80.0
1994,Full Metal Jacket,1987,8.3,76,574404,83.0
1995,How to Train Your Dragon,2010,8.1,74,573194,81.0
1996,Skyfall,2012,7.8,81,572893,78.0
1997,Aliens,1986,8.4,84,571663,84.0
1998,The King's Speech,2010,8.0,88,567609,80.0
1999,The Revenant,2015,8.0,76,567555,80.0
2000,The Bourne Ultimatum,2007,8.0,85,563232,80.0
2001,Trainspotting,1996,8.2,83,562192,82.0
2002,Million Dollar Baby,2004,8.1,86,559844,81.0
2003,Whiplash,2014,8.5,88,559811,85.0
2004,The Incredibles,2004,8.0,90,559084,80.0
2005,The Hunger Games: Catching Fire,2013,7.5,76,554912,75.0
2006,Transformers,2007,7.1,61,554168,71.0
2007,12 Angry Men,1957,8.9,96,551058,89.0
2008,Star Trek,2009,8.0,82,545148,80.0
2009,Pan's Labyrinth,2006,8.2,98,545111,82.0
2010,The Social Network,2010,7.7,95,544959,77.0
2011,The Hobbit: The Desolation of Smaug,2013,7.9,66,544070,79.0
2012,Ratatouille,2007,8.0,96,543097,80.0
2013,12 Years a Slave,2013,8.1,96,543047,81.0
2014,Fargo,1996,8.1,85,533104,81.0
2015,Shrek,2001,7.9,84,530118,79.0
2016,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529875,76.0
2017,World War Z,2013,7.0,63,529104,70.0
2018,Twelve Monkeys,1995,8.0,74,524491,80.0
2019,Prometheus,2012,7.0,64,521150,70.0
2020,Apocalypse Now,1979,8.5,94,520058,85.0
2021,Casino Royale,2006,8.0,80,519852,80.0
2022,Ted,2012,7.0,62,519682,70.0
2023,Spirited Away,2001,8.6,96,516890,86.0
2024,The Curious Case of Benjamin Button,2008,7.8,70,516448,78.0
2025,Edge of Tomorrow,2014,7.9,71,516275,79.0
2026,Groundhog Day,1993,8.0,72,514963,80.0
2027,Argo,2012,7.7,86,513656,77.0
2028,Captain America: Civil War,2016,7.8,75,512833,78.0
2029,X-Men,2000,7.4,64,512495,74.0
2030,2001: A Space Odyssey,1968,8.3,82,509086,83.0
2031,Life of Pi,2012,7.9,79,507235,79.0
2032,The Amazing Spider-Man,2012,7.0,66,503570,70.0
2033,Psycho,1960,8.5,97,502693,85.0
2034,Into the Wild,2007,8.1,73,500615,81.0
2035,Heat,1995,8.2,76,498521,82.0
2036,Drive,2011,7.8,78,497249,78.0
2037,Logan,2017,8.1,77,495828,81.0
2038,Prisoners,2013,8.1,74,490946,81.0
2039,Inside Out,2015,8.2,94,490214,82.0
2040,Frozen,2013,7.5,74,488549,75.0
