,movies,year,imdb_rating,metascore,number_of_votes,n_imdb
353,Scarface,1983,8.3,65,627909,83.0
354,The Big Lebowski,1998,8.1,69,627050,81.0
355,The Martian,2015,8.0,80,626956,80.0
356,Amélie,2001,8.3,69,621149,83.0
357,Black Swan,2010,8.0,79,619293,80.0
358,City of God,2002,8.6,79,612325,86.0
359,Spider-Man,2002,7.3,73,611215,73.0
360,Captain America: The First Avenger,2011,6.9,66,608919,69.0
361,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,608353,76.0
362,Captain America: The Winter Soldier,2014,7.8,70,608111,78.0
363,I Am Legend,2007,7.2,65,606795,72.0
364,Indiana Jones and the Last Crusade,1989,8.3,65,600438,83.0
365,Taxi Driver,1976,8.3,94,600305,83.0
366,The Pianist,2002,8.5,85,598137,85.0
367,Silver Linings Playbook,2012,7.8,81,597429,78.0
368,Avengers: Age of Ultron,2015,7.4,66,594679,74.0
369,The Grand Budapest Hotel,2014,8.1,88,594073,81.0
370,Blade Runner,1982,8.2,89,592183,82.0
371,X-Men: Days of Future Past,2014,8.0,75,590736,80.0
372,The Good the Bad and the Ugly,1966,8.9,90,586027,89.0
373,District 9,2009,7.9,81,584741,79.0
374,X: First Class,2011,7.8,65,582944,78.0
375,Kill Bill: Vol. 2,2004,8.0,83,581761,80.0
376,The Imitation Game,2014,8.0,73,581323,80.0
377,Full Metal Jacket,1987,8.3,76,574404,83.0
378,How to Train Your Dragon,2010,8.1,74,573194,81.0
379,Skyfall,2012,7.8,81,572893,78.0
380,Aliens,1986,8.4,84,571663,84.0
381,The King's Speech,2010,8.0,88,567609,80.0
382,The Revenant,2015,8.0,76,567555,80.0
383,The Bourne Ultimatum,2007,8.0,85,563232,80.0
384,Trainspotting,1996,8.2,83,562192,82.0
385,Million Dollar Baby,2004,8.1,86,559844,81.0
386,Whiplash,2014,8.5,88,559811,85.0
387,The Incredibles,2004,8.0,90,559084,80.0
388,The Hunger Games: Catching Fire,2013,7.5,76,554912,75.0
389,Transformers,2007,7.1,61,554168,71.0
390,12 Angry Men,1957,8.9,96,551058,89.0
391,Star Trek,2009,8.0,82,545148,80.0
392,Pan's Labyrinth,2006,8.2,98,545111,82.0
393,The Social Network,2010,7.7,95,544959,77.0
394,The Hobbit: The Desolation of Smaug,2013,7.9,66,544070,79.0
395,Ratatouille,2007,8.0,96,543097,80.0
396,12 Years a Slave,2013,8.1,96,543047,81.0
397,Fargo,1996,8.1,85,533104,81.0
398,Shrek,2001,7.9,84,530118,79.0
399,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529875,76.0
400,World War Z,2013,7.0,63,529104,70.0
401,Twelve Monkeys,1995,8.0,74,524491,80.0
402,Prometheus,2012,7.0,64,521150,70.0
403,Apocalypse Now,1979,8.5,94,520058,85.0
404,Casino Royale,2006,8.0,80,519852,80.0
405,Ted,2012,7.0,62,519682,70.0
406,Spirited Away,2001,8.6,96,516890,86.0
407,The Curious Case of Benjamin Button,2008,7.8,70,516448,78.0
408,Edge of Tomorrow,2014,7.9,71,516275,79.0
409,Groundhog Day,1993,8.0,72,514963,80.0
410,Argo,2012,7.7,86,513656,77.0
411,Captain America: Civil War,2016,7.8,75,512833,78.0
412,X-Men,2000,7.4,64,512495,74.0
413,2001: A Space Odyssey,1968,8.3,82,509086,83.0
414,Life of Pi,2012,7.9,79,507235,79.0
415,The Amazing Spider-Man,2012,7.0,66,503570,70.0
416,Psycho,1960,8.5,97,502693,85.0
417,Into the Wild,2007,8.1,73,500615,81.0
418,Heat,1995,8.2,76,498521,82.0
419,Drive,2011,7.8,78,497249,78.0
420,Logan,2017,8.1,77,495828,81.0
